,runtime,type
2016/1/1,32.135,32M
2016/2/1,32.005,32M
2016/3/1,31.978,32M
2016/4/1,31.994,32M
2016/5/1,31.785,32M
2016/6/1,31.692,32M
2016/7/1,31.604,32M
2016/8/1,31.524,32M
2016/9/1,31.608,32M
2016/10/1,31.482,32M
2016/11/1,31.441,32M
2016/12/1,31.354,32M
2017/1/1,31.422,32M
2017/2/1,31.279,32M
2017/3/1,31.261,32M
2017/4/1,31.286,32M
2017/5/1,31.338,32M
2017/6/1,31.343,32M
2017/7/1,31.315,32M
2017/8/1,31.277,32M
2017/9/1,31.231,32M
2017/10/1,31.342,32M
2017/11/1,31.307,32M
2017/12/1,31.315,32M
2018/1/1,31.304,32M
2018/2/1,31.289,32M
2018/3/1,31.294,32M
2018/4/1,31.281,32M
2018/5/1,31.289,32M
2018/6/1,31.271,32M
2018/7/1,31.265,32M
2018/8/1,31.26,32M
2018/9/1,31.259,32M
