,runtime,type
2016/1/1,6.994,8M
2016/2/1,7.221,8M
2016/3/1,7.342,8M
2016/4/1,7.451,8M
2016/5/1,7.44,8M
2016/6/1,7.452,8M
2016/7/1,7.501,8M
2016/8/1,7.684,8M
2016/9/1,7.773,8M
2016/10/1,7.771,8M
2016/11/1,7.969,8M
2016/12/1,8.342,8M
2017/1/1,8.558,8M
2017/2/1,8.737,8M
2017/3/1,8.76,8M
2017/4/1,8.689,8M
2017/5/1,8.829,8M
2017/6/1,8.791,8M
2017/7/1,8.905,8M
2017/8/1,8.884,8M
2017/9/1,8.907,8M
2017/10/1,8.782,8M
2017/11/1,8.801,8M
2017/12/1,8.872,8M
2018/1/1,8.851,8M
2018/2/1,8.964,8M
2018/3/1,9.014,8M
2018/4/1,9.151,8M
2018/5/1,9.12,8M
2018/6/1,9.213,8M
2018/7/1,9.201,8M
2018/8/1,9.187,8M
2018/9/1,9.175,8M
