,runtime,type
2016/1/1,6.524,8M
2016/2/1,6.481,8M
2016/3/1,6.442,8M
2016/4/1,6.468,8M
2016/5/1,6.397,8M
2016/6/1,6.384,8M
2016/7/1,6.373,8M
2016/8/1,6.382,8M
2016/9/1,6.293,8M
2016/10/1,6.172,8M
2016/11/1,6.153,8M
2016/12/1,6.144,8M
2017/1/1,6.004,8M
2017/2/1,6.217,8M
2017/3/1,6.06,8M
2017/4/1,6.124,8M
2017/5/1,5.949,8M
2017/6/1,5.781,8M
2017/7/1,5.723,8M
2017/8/1,5.824,8M
2017/9/1,5.843,8M
2017/10/1,5.792,8M
2017/11/1,5.791,8M
2017/12/1,5.785,8M
2018/1/1,5.793,8M
2018/2/1,5.784,8M
2018/3/1,5.772,8M
2018/4/1,5.77,8M
2018/5/1,5.683,8M
2018/6/1,5.69,8M
2018/7/1,5.671,8M
2018/8/1,5.652,8M
2018/9/1,5.653,8M
