,runtime,type
2016/1/1,7.234,8M
2016/2/1,7.196,8M
2016/3/1,7.24,8M
2016/4/1,7.237,8M
2016/5/1,7.265,8M
2016/6/1,7.288,8M
2016/7/1,7.28,8M
2016/8/1,7.301,8M
2016/9/1,7.294,8M
2016/10/1,7.317,8M
2016/11/1,7.33,8M
2016/12/1,7.327,8M
2017/1/1,7.329,8M
2017/2/1,7.319,8M
2017/3/1,7.328,8M
2017/4/1,7.337,8M
2017/5/1,7.344,8M
2017/6/1,7.349,8M
2017/7/1,7.348,8M
2017/8/1,7.341,8M
2017/9/1,7.437,8M
2017/10/1,7.426,8M
2017/11/1,7.445,8M
2017/12/1,7.431,8M
2018/1/1,7.432,8M
2018/2/1,7.451,8M
2018/3/1,7.446,8M
2018/4/1,7.455,8M
2018/5/1,7.451,8M
2018/6/1,7.459,8M
2018/7/1,7.462,8M
2018/8/1,7.463,8M
2018/9/1,7.461,8M
