,runtime,type
2016/1/1,31.875,32M
2016/2/1,32.225,32M
2016/3/1,32.938,32M
2016/4/1,33.164,32M
2016/5/1,33.505,32M
2016/6/1,33.422,32M
2016/7/1,33.414,32M
2016/8/1,33.515,32M
2016/9/1,33.388,32M
2016/10/1,33.052,32M
2016/11/1,32.941,32M
2016/12/1,32.981,32M
2017/1/1,33.132,32M
2017/2/1,33.019,32M
2017/3/1,33.171,32M
2017/4/1,33.206,32M
2017/5/1,33.328,32M
2017/6/1,33.423,32M
2017/7/1,33.545,32M
2017/8/1,34.027,32M
2017/9/1,34.101,32M
2017/10/1,34.312,32M
2017/11/1,34.564,32M
2017/12/1,34.652,32M
2018/1/1,34.689,32M
2018/2/1,34.671,32M
2018/3/1,34.795,32M
2018/4/1,34.806,32M
2018/5/1,34.821,32M
2018/6/1,34.987,32M
2018/7/1,34.934,32M
2018/8/1,35.136,32M
2018/9/1,35.119,32M
