,runtime,type
2016/1/1,14.334,16M
2016/2/1,14.528,16M
2016/3/1,14.449,16M
2016/4/1,14.631,16M
2016/5/1,14.761,16M
2016/6/1,14.692,16M
2016/7/1,14.774,16M
2016/8/1,14.883,16M
2016/9/1,14.903,16M
2016/10/1,15.013,16M
2016/11/1,15.062,16M
2016/12/1,15.157,16M
2017/1/1,15.211,16M
2017/2/1,15.21,16M
2017/3/1,15.341,16M
2017/4/1,15.393,16M
2017/5/1,15.475,16M
2017/6/1,15.417,16M
2017/7/1,15.5,16M
2017/8/1,15.474,16M
2017/9/1,15.482,16M
2017/10/1,15.442,16M
2017/11/1,15.512,16M
2017/12/1,15.509,16M
2018/1/1,15.52,16M
2018/2/1,15.518,16M
2018/3/1,15.523,16M
2018/4/1,15.536,16M
2018/5/1,15.529,16M
2018/6/1,15.531,16M
2018/7/1,15.538,16M
2018/8/1,15.541,16M
2018/9/1,15.545,16M
